"","Position","Samples","Starch","Total.Polysaccharides","WSP","Glucose","Fructose","Sucrose","Total.Sugar","Inbred","Edit"
"40","180","14NY0627-1",3.7432165,0,-4.9963579,7.3507967,8.685317,36.1193008,52.1150436,"Wh00065","WSP Zeroed"
"41","215","14NY0693-1",8.8352356,0,-4.9140072,6.7036667,8.0212059,33.9593658,48.6185532,"Wuh98032","WSP Zeroed"
"42","82","14NY0292-2",6.5346718,0,-4.9015779,6.8773584,8.2440882,34.234623,49.298912,"Wh05066a","WSP Nulled"
"43","101","14NY0322",9.4208517,0,-4.7536964,6.466732,7.9400568,33.8754845,48.3424034,"Wuh09164i","WSP Zeroed"
"44","193","14NY0643-2",8.2037029,0.843261,-4.7279406,6.6986403,8.1426506,33.5793381,48.3713684,"Wh07061a","WSP Zeroed"
"45","84","14NY0294-2",3.5693779,0,-4.6534472,7.413444,8.4690952,34.4743271,50.2772064,"Wh07013","WSP Zeroed"
"46","230","14NY0729-2",5.5669174,0,-4.5636988,7.1546516,8.3589611,34.1200676,49.5783615,"Wh10113R","WSP Nulled"
"47","188","14NY0634-1",8.6139107,1.9613087,-4.5449343,6.5659857,7.9526682,32.5416679,47.010704,"Wh05066a","WSP Nulled"
"48","94","14NY0308-2",5.725913,0,-4.5320225,7.1214247,8.3410587,34.0511322,49.4669762,"Wh10113R","WSP Nulled"
"49","58","14NY0226-1",2.8290081,0,-4.5052643,7.3801594,8.5593367,34.4977646,50.4153252,"Wh07165R","WSP Zeroed"
"50","241","14NY0748-2",3.1155844,0,-4.4535985,7.4206905,8.518899,34.2011108,50.0962753,"Wh07165R","WSP Zeroed"
"51","106","14NY0325-2",15.5790052,7.4103193,-4.4383087,5.8204284,7.1858654,29.3477764,42.1875572,"Wh10080","WSP Zeroed"
"52","42","14NY0170",9.8685708,3.67906995,-4.41500855,6.6164634,7.68480205,31.3133745,45.46811675,"Wuh09098i","WSP Zeroed"
"53","29","14NY0142-2",7.4658928,1.7225413,-4.4121103,6.8154063,8.0818281,32.6901855,47.5281906,"Wh93017","WSP Nulled"
"54","778","15W3146-2",12.57472035,5.37471435,-4.37679815,6.09197595,7.50465465,30.59172345,44.09243015,"Wh10080","WSP Zeroed"
"55","105","14NY0325-1",13.2561941,5.8919501,-4.3767147,6.1352396,7.4334936,30.1945877,43.6224289,"Wh10080","WSP Zeroed"
"56","80","14NY0284-2",13.4075861,6.0186157,-4.3428326,6.1430283,7.4421258,30.4280472,43.8754463,"Wh09068","WSP Zeroed"
"57","28","14NY0142-1",11.4449472,4.7704215,-4.2972898,6.1711931,7.5478778,30.6988087,44.3396378,"Wh93017","WSP Zeroed"
"58","146","14NY0552-1",6.1824398,1.4493682,-4.2697945,7.0476751,8.0376654,32.3207092,47.3087387,"Wh07013","WSP Zeroed"
