"","Position","Samples","Starch","Total.Polysaccharides","WSP","Glucose","Fructose","Sucrose","Total.Sugar","Variety","Edit"
"375","123","14NY0440-1",33.6652584,34.67002295,-0.33977965,3.9067206,4.38901735,11.10997295,19.0596018,"B73","WSP Zeroed"
"376","216","14NY0725-2",23.4534798,26.0463829,-0.3082392,4.9517078,5.4119701,15.3687258,25.6735058,"A632","WSP Zeroed"
"377","659","15W2830",15.4509134,22.662487,-0.3061353,6.2805023,6.2404976,18.3103504,30.7412186,"Wh10173V","WSP Nulled"
"378","246","14NY0784-2",22.7004166,25.1431503,-0.2970558,5.2082682,5.6079311,16.2578735,27.0295219,"Wh10804R","WSP Zeroed"
"379","271","14W30940-1",18.9186172,23.7654972,-0.2801987,5.6550722,5.8217473,17.0641861,28.5226517,"Wh10216V","WSP Nulled"
"380","121","14NY0407-1",32.8780619333333,31.6497503666667,-0.261999133333333,3.8026684,4.69093083333333,12.9398972333333,21.3054014666667,"OH43","WSP Zeroed"
"381","503","15NY0295",17.2344475,14.9289989,-0.2522382,5.983079,6.3010721,20.8514519,33.4717064,"Wuh07183i","WSP Zeroed"
"382","463","15NY0098",16.7788734,14.5029688,-0.2377813,5.873807,6.3399649,21.0366669,33.6277809,"Wuh09149i","WSP Zeroed"
"383","457","15NY0067",25.6840401,15.8627815,-0.23737,4.4629364,5.3483624,18.7400436,29.0166397,"Wh10035R","WSP Zeroed"
"384","441","14W32461-1",15.1433954,22.3232689,-0.2102284,6.2409172,6.2310123,18.1258316,30.5751839,"Wh93017","WSP Nulled"
"385","238","14NY0760-1",18.6402016,22.1158524,-0.1918732,5.7960787,6.1481314,18.3856697,30.3785095,"Wh10006R","WSP Nulled"
"386","224","14NY0745-1",16.134903,21.3950119,-0.1828539,6.1653724,6.2449226,18.478651,30.8793354,"Wh96034","WSP Zeroed"
"387","117","14NY0362-1",30.3568497,34.8987274,-0.1825551,4.4397407,4.61236,10.9336014,19.5956974,"A632","WSP Zeroed"
"388","154","14NY0576-1",16.1970901,19.1953354,-0.1709697,6.0014973,6.4395323,19.7694302,32.3856163,"Wh08042","WSP Zeroed"
"389","275","14W30945-1",5.3857565,17.0068359,-0.1550972,7.8418384,7.4446912,22.4829407,37.7681885,"Wh09068","WSP Nulled"
"390","322","14W31479",23.6214638,23.9667149,-0.1436799,4.2899919,4.316895,13.4135523,21.9331646,"Wuh09188i","WSP Zeroed"
"391","387","14W32075",18.9933243,20.1015167,-0.1031268,5.1568394,5.1017861,16.3209801,26.5754814,"Wuh09191i","WSP Zeroed"
"392","334","14W31546",28.6447315,28.75095845,-0.09855075,3.7913115,4.0086813,11.41018295,19.06019495,"Wuh09170i","WSP Zeroed"
"393","566","15NY0671",31.0016403,30.6322079,-0.0968838,4.0668278,4.6917715,12.670887,21.3411522,"Wh10804R","WSP Zeroed"
"394","626","15W2367-2",17.1616669,23.0411034,-0.0902586,6.0397563,6.1661325,18.0903339,30.2886734,"Wh00033","WSP Zeroed"
"395","453","15NY0036",26.493969,17.0104885,-0.0848508,4.3507509,5.1574574,17.9899254,27.9319477,"Wh09126R","WSP Nulled"
"396","337","14W31632",23.8617401,24.7950134,-0.0847681,4.3607712,4.4092913,13.4711571,22.1406898,"Wuh07481i","WSP Nulled"
"397","132","14NY0522-1",24.2387848,26.0448437,-0.078264,5.1845422,5.5591831,15.8254938,26.5037899,"F7","WSP Zeroed"
"398","54","14NY0213-2",4.9859314,20.5694466,-0.0768204,8.0476418,6.9569306,19.2148361,33.93927,"Wh92054","WSP Zeroed"
"399","252","14NY0815-2",29.5997505,32.3409576,-0.0706704,4.3561616,4.7227268,11.6888351,20.5381126,"A632","WSP Zeroed"
"400","2","14NY0017-1",20.3797555,26.2350445,-0.0569705,5.73077965,5.779726,15.88528825,27.2613716,"W64A","WSP Zeroed"
"401","314","14W31432-2",1.2353897,18.3349171,-0.0496473,8.8063984,7.7454028,21.9707928,38.3113022,"Wh10046R","WSP Nulled"
"402","526","15NY0404",35.4671173,32.9002686,-0.0407126,3.3188,4.2023187,11.255703,18.6918983,"B73","WSP Zeroed"
"403","331","14W31542",35.751049,41.3561668,-0.0385447,3.6832285,3.367866,6.1953869,12.568676,"Wuh08127i","WSP Zeroed"
"404","63","14NY0239-2",13.5992899,23.4172459,-0.0349498,6.9789696,6.5541835,18.3114758,31.6752014,"Wh00033","WSP Nulled"
"405","644","15W2617-1",11.3272943,21.0965214,-0.0323529,6.9367952,6.6042957,19.0532455,32.5515747,"Wh09087","WSP Nulled"
"406","119","14NY0405-1",24.7004547,25.9610825,-0.0217254,4.9644756,5.4873362,15.3886185,25.8479538,"Mo17","WSP Zeroed"
"407","482","15NY0189",18.2710075,15.0474844,-0.0174503,5.6220822,6.1734147,20.382618,32.6124039,"Wuh07481i","WSP Zeroed"
"408","397","14W32121",31.0648155,29.9910889,-0.0109968,3.4798717,3.8334394,10.8200607,17.9950294,"Wuh07422i","WSP Zeroed"
"409","247","14NY0789-1",13.3006887,17.5629349,-0.0075326,6.3542471,6.7024155,20.336731,33.6391258,"If825","WSP Zeroed"
"410","122","14NY0407-2",31.7994715333333,30.4472891333333,-0.0013818,4.02149786666667,4.7744551,13.1261542666667,21.8621565333333,"OH43","WSP Zeroed"
"411","192","14NY0666-2",2.7438574,NA,0,7.5285826,8.5876551,34.8276749,51.0261383,"Wh01001","Sucrose Nulled"
"412","72","14NY0269-2",3.0927916,NA,0,7.507308,8.4773083,33.6076355,49.8410645,"Wh10049R","Total.Sugar Nulled"
